city,年均温℃,最冷月均温℃,最热月均温℃,年降水mm,夏季降水占比%,年较差℃,升温速率℃/年
三亚,25.9,21.4,29.2,1307.0,41.5,7.8,-0.03
广州,23.2,15.5,29.5,2252.0,43.0,13.9,-0.061
深圳,22.8,15.9,28.4,1935.0,41.9,12.4,-0.043
重庆,18.9,8.2,29.9,1448.0,39.3,21.7,0.282
武汉,18.2,5.3,30.0,1345.0,45.9,24.7,0.153
杭州,17.7,5.8,29.5,1634.0,47.0,23.8,0.11
成都,17.6,6.9,26.9,1125.0,56.5,20.1,0.285
上海,17.2,5.5,28.9,1471.0,44.3,23.4,0.135
南京,16.8,4.0,28.7,1173.0,49.0,24.7,0.088
昆明,16.2,9.0,20.7,1409.0,53.1,11.7,0.11
郑州,16.2,1.8,27.9,762.0,57.6,26.1,0.048
西安,15.3,1.0,27.3,713.0,47.6,26.3,0.188
北京,13.2,-2.8,26.9,638.0,71.0,29.8,0.069
兰州,11.2,-3.6,23.7,326.0,44.3,27.4,0.197
拉萨,9.2,0.0,16.7,667.0,63.4,16.6,0.067
乌鲁木齐,8.6,-11.6,25.9,225.0,27.1,37.5,0.077
长春,6.9,-12.7,24.0,800.0,64.7,36.8,0.04
哈尔滨,5.7,-16.0,24.0,720.0,63.4,39.9,-0.098
